Added?,Notes,Timestamp,CMDR Name,System,Planet,Latitude,Longitude,Screenshot,Optional Count of Bark Mounds at this site,Optional URL to Forum-post,"Questions, Comments, and Concerns"
Y,,1/1/2018 4:13:29,Nolanus Raven,Floalt KU-E D12-218,1 A,66.3553,84.0016,https://i.imgur.com/3hO749y.jpg,100,https://forums.frontier.co.uk/showthread.php/116450-Information-The-Galactic-Mapping-Project-amp-Expedition-Hub?p=6257781&viewfull=1#post6257781,"The sirte is large, I think there is close to 100 of these things there."
Y,This one is a dupe of previous with a better image,1/1/2018 4:50:47,Nolanus Raven,Floalt KU-E D12-218,1 A,66.3917,84.1447,https://i.imgur.com/EiupVfg.jpg,100,https://forums.frontier.co.uk/showthread.php/116450-Information-The-Galactic-Mapping-Project-amp-Expedition-Hub?p=6257781&viewfull=1#post6257781,There is well over 100 bark mounds at this site. Pretty large!
,,1/1/2018 14:12:53,Andy_Pipkin,HIP 18390,A 2 A,61.5043,-102.6969,https://media.discordapp.net/attachments/393502144910852097/394636723855818764/20171225001608_1.jpg?width=1202&height=677,,,
,,1/2/2018 16:25:52,Gaesatae,T Tauri,A 2 A,37.2815,155.3259,http://steamcommunity.com/sharedfiles/filedetails/?id=1255025469,,,
,,1/10/2018 9:44:52,Baton,Oephaif TE-G d11-1605,3 A,8.3706,112.7304,https://i.imgur.com/4TzevFN.jpg,,,
,,1/10/2018 9:45:18,Baton,Bleethue NH-V d2-188,ABC 4 A,34.2794,-162.8259,https://i.imgur.com/kFjxNs7.jpg,,,
,,1/10/2018 9:46:29,Baton,Pheia Auscs PT-G d11-445,2 E A,1.7922,-160.9596,https://i.imgur.com/S6bAJRl.png,,,
,,1/10/2018 9:47:11,Baton,NGC 3199 Sector MC-V c2-3,B 2 A,-39.5304,75.7355,https://i.imgur.com/4ClOCt4.png,,,
,,1/10/2018 9:52:19,Baton,Prua Phoe US-B d12,8 C A,20.8415,83.4914,https://i.imgur.com/FJisZDA.jpg,,,
,,1/10/2018 9:52:46,Baton,Prua Phoe US-B d12,8 C A,29.7377,92.4291,https://i.imgur.com/sO8D2Oi.png,,,
,,1/19/2018 4:37:18,dvr_n,R CrA Sector EC-L b8-0,A 1 a,-74.2515,-104.4771,https://imgur.com/a/wJkEr,,,500ly from Sol
,,1/19/2018 4:46:56,dvr_n,Fetus Sector GW-W c1-0,1 a a,21.6505,5.7173,https://imgur.com/a/hIqNT,,,
,,1/19/2018 5:03:35,dvr_n,Fetus Sector GW-W c1-0,1 a a,8.3215,21.2793,https://imgur.com/a/nkh2g,,,
,,1/20/2018 5:44:19,Baton,Eock Bluae OO-R b5-0,C 1,-6.4676,-58.3539,https://i.imgur.com/U7NeYxJ.jpg,,,
,,1/22/2018 9:24:26,Baton,Eorl Auwsy SY-Z d13-2376,1 A,21.3531,103.8174,https://i.imgur.com/8treVA6.jpg,,,
,,1/22/2018 9:25:05,Baton,Eorl Auwsy SY-Z d13-2376,1 A,-14.0726,94.3267,https://i.imgur.com/GumNRgt.jpg,,,
,,1/22/2018 9:29:25,Baton,Oob Brue PO-X d2-10,6 A,-37.283,-171.2928,https://i.imgur.com/vMZ53w9.jpg,,,
,,1/29/2018 17:31:12,Panpiper,Pleiades Sector HC-U b3-0,E 1 ,39.9741,-69.7512,https://i.imgur.com/omSJuYR.png,,,
,,2/11/2018 16:06:26,Baton,Eorl Auwsy UT-Z d13-432,A 1 A A,30.4118,-134.6438,https://i.imgur.com/f0UnQ9P.png,,,
,,2/11/2018 16:07:07,Baton,Eorl Auwsy SY-Z d13-4137,2 B A,-29.9745,4.0689,https://i.imgur.com/TBtCvYp.jpg,,,
,,2/11/2018 16:07:41,Baton,Eorl Auwsy SY-Z d13-4137,2 B A,3.036,84.7171,https://i.imgur.com/B6a1aFA.jpg,,,
,,2/23/2018 18:06:37,Maligno,HD 279128,3 A,38.5103,71.605,https://imgur.com/2eGCDDj,,,
